,source,relation,target
0,Compound::DB00530,has_side_effect,Disease::C0001144
1,Compound::DB00530,has_side_effect,Disease::C0002170
2,Compound::DB00530,has_side_effect,Disease::C4083212
3,Compound::DB00530,has_side_effect,Disease::C0003467
4,Compound::DB00530,has_side_effect,Disease::C0004604
5,Compound::DB00530,has_side_effect,Disease::C0009806
6,Compound::DB00530,has_side_effect,Disease::C0010043
7,Compound::DB00530,has_side_effect,Disease::C0010200
8,Compound::DB00530,has_side_effect,Disease::C0013395
9,Compound::DB00530,has_side_effect,Disease::C0014742
10,Compound::DB00530,has_side_effect,Disease::C0015230
11,Compound::DB00530,has_side_effect,Disease::C0016436
12,Compound::DB00530,has_side_effect,Disease::C0021603
13,Compound::DB00530,has_side_effect,Disease::C0917801
14,Compound::DB00530,has_side_effect,Disease::C0022568
15,Compound::DB00530,has_side_effect,Disease::C0022575
16,Compound::DB00530,has_side_effect,Disease::C0027051
17,Compound::DB00530,has_side_effect,Disease::C0027497
18,Compound::DB00530,has_side_effect,Disease::C0030193
19,Compound::DB00530,has_side_effect,Disease::C0030578
20,Compound::DB00530,has_side_effect,Disease::C0030920
21,Compound::DB00530,has_side_effect,Disease::C0032285
22,Compound::DB00530,has_side_effect,Disease::C0033774
23,Compound::DB00530,has_side_effect,Disease::C0034069
24,Compound::DB00530,has_side_effect,Disease::C0035854
25,Compound::DB00530,has_side_effect,Disease::C0406486
26,Compound::DB00530,has_side_effect,Disease::C0020683
27,Compound::DB00530,has_side_effect,Disease::C0038325
28,Compound::DB00530,has_side_effect,Disease::C0040034
29,Compound::DB00530,has_side_effect,Disease::C0042164
30,Compound::DB00530,has_side_effect,Disease::C0042963
31,Compound::DB00530,has_side_effect,Disease::C0003862
32,Compound::DB00530,has_side_effect,Disease::C0149871
33,Compound::DB00530,has_side_effect,Disease::C0038454
34,Compound::DB00530,has_side_effect,Disease::C0948089
35,Compound::DB00530,has_side_effect,Disease::C0339293
36,Compound::DB00530,has_side_effect,Disease::C0231528
37,Compound::DB00829,has_side_effect,Disease::C0002792
38,Compound::DB00829,has_side_effect,Disease::C0004096
39,Compound::DB00829,has_side_effect,Disease::C0004604
40,Compound::DB00829,has_side_effect,Disease::C0009806
41,Compound::DB00829,has_side_effect,Disease::C0010200
42,Compound::DB00829,has_side_effect,Disease::C0013395
43,Compound::DB00829,has_side_effect,Disease::C0014549
44,Compound::DB00829,has_side_effect,Disease::C0015230
45,Compound::DB00829,has_side_effect,Disease::C0018790
46,Compound::DB00829,has_side_effect,Disease::C0018802
47,Compound::DB00829,has_side_effect,Disease::C1961112
48,Compound::DB00829,has_side_effect,Disease::C0020649
49,Compound::DB00829,has_side_effect,Disease::C0020651
50,Compound::DB00829,has_side_effect,Disease::C0242350
51,Compound::DB00829,has_side_effect,Disease::C0021603
52,Compound::DB00829,has_side_effect,Disease::C0917801
53,Compound::DB00829,has_side_effect,Disease::C0027051
54,Compound::DB00829,has_side_effect,Disease::C0027497
55,Compound::DB00829,has_side_effect,Disease::C0029408
56,Compound::DB00829,has_side_effect,Disease::C0030193
57,Compound::DB00829,has_side_effect,Disease::C0032285
58,Compound::DB00829,has_side_effect,Disease::C0033774
59,Compound::DB00829,has_side_effect,Disease::C0033975
60,Compound::DB00829,has_side_effect,Disease::C0036337
61,Compound::DB00829,has_side_effect,Disease::C0235063
62,Compound::DB00829,has_side_effect,Disease::C0035455
63,Compound::DB00829,has_side_effect,Disease::C0020683
64,Compound::DB00829,has_side_effect,Disease::C0037199
65,Compound::DB00829,has_side_effect,Disease::C0040034
66,Compound::DB00829,has_side_effect,Disease::C0042024
67,Compound::DB00829,has_side_effect,Disease::C0042029
68,Compound::DB00829,has_side_effect,Disease::C0042109
69,Compound::DB00829,has_side_effect,Disease::C0042571
70,Compound::DB00829,has_side_effect,Disease::C0042963
71,Compound::DB00829,has_side_effect,Disease::C0043250
72,Compound::DB00829,has_side_effect,Disease::C0026961
73,Compound::DB00829,has_side_effect,Disease::C0080274
74,Compound::DB00829,has_side_effect,Disease::C0003862
75,Compound::DB00829,has_side_effect,Disease::C0149871
76,Compound::DB00829,has_side_effect,Disease::C0013428
77,Compound::DB00829,has_side_effect,Disease::C0948089
78,Compound::DB00829,has_side_effect,Disease::C0231528
79,Compound::DB01158,has_side_effect,Disease::C0002962
80,Compound::DB01158,has_side_effect,Disease::C0003467
81,Compound::DB01158,has_side_effect,Disease::C0020538
82,Compound::DB01158,has_side_effect,Disease::C0020651
83,Compound::DB01158,has_side_effect,Disease::C0027497
84,Compound::DB01158,has_side_effect,Disease::C0033975
85,Compound::DB01158,has_side_effect,Disease::C0036337
86,Compound::DB01158,has_side_effect,Disease::C0020683
87,Compound::DB01158,has_side_effect,Disease::C0042571
88,Compound::DB01158,has_side_effect,Disease::C0042963
89,Compound::DB01158,has_side_effect,Disease::C0151636
90,Compound::DB00687,has_side_effect,Disease::C0002792
91,Compound::DB00687,has_side_effect,Disease::C0008049
92,Compound::DB00687,has_side_effect,Disease::C0011849
93,Compound::DB00687,has_side_effect,Disease::C0015230
94,Compound::DB00687,has_side_effect,Disease::C0017601
95,Compound::DB00687,has_side_effect,Disease::C0020538
