,Unnamed: 0,source,relation,target
0,0,Compound::DB00107,has_approved_interaction,Disease::C0000810
1,1,Compound::DB00917,has_approved_interaction,Disease::C0000810
2,2,Compound::DB01160,has_approved_interaction,Disease::C0000810
3,3,Compound::DB09125,has_approved_interaction,Disease::C0001126
4,4,Compound::DB00199,has_approved_interaction,Disease::C0001144
5,5,Compound::DB00210,has_approved_interaction,Disease::C0001144
6,6,Compound::DB00250,has_approved_interaction,Disease::C0001144
7,7,Compound::DB00254,has_approved_interaction,Disease::C0001144
8,8,Compound::DB00548,has_approved_interaction,Disease::C0001144
9,9,Compound::DB00634,has_approved_interaction,Disease::C0001144
10,10,Compound::DB00655,has_approved_interaction,Disease::C0001144
11,11,Compound::DB00681,has_approved_interaction,Disease::C0001144
12,12,Compound::DB00717,has_approved_interaction,Disease::C0001144
13,13,Compound::DB00741,has_approved_interaction,Disease::C0001144
14,14,Compound::DB00755,has_approved_interaction,Disease::C0001144
15,15,Compound::DB00759,has_approved_interaction,Disease::C0001144
16,16,Compound::DB00783,has_approved_interaction,Disease::C0001144
17,17,Compound::DB00799,has_approved_interaction,Disease::C0001144
18,18,Compound::DB00936,has_approved_interaction,Disease::C0001144
19,19,Compound::DB00957,has_approved_interaction,Disease::C0001144
20,20,Compound::DB00977,has_approved_interaction,Disease::C0001144
21,21,Compound::DB01017,has_approved_interaction,Disease::C0001144
22,22,Compound::DB01190,has_approved_interaction,Disease::C0001144
23,23,Compound::DB01380,has_approved_interaction,Disease::C0001144
24,24,Compound::DB01395,has_approved_interaction,Disease::C0001144
25,25,Compound::DB02701,has_approved_interaction,Disease::C0001144
26,26,Compound::DB02703,has_approved_interaction,Disease::C0001144
27,27,Compound::DB09096,has_approved_interaction,Disease::C0001144
28,28,Compound::DB09353,has_approved_interaction,Disease::C0001144
29,29,Compound::DB00082,has_approved_interaction,Disease::C0001206
30,30,Compound::DB00104,has_approved_interaction,Disease::C0001206
31,31,Compound::DB00589,has_approved_interaction,Disease::C0001206
32,32,Compound::DB01200,has_approved_interaction,Disease::C0001206
33,33,Compound::DB06791,has_approved_interaction,Disease::C0001206
34,34,Compound::DB06791,has_approved_interaction,Disease::C0001207
35,35,Compound::DB00254,has_approved_interaction,Disease::C0001261
36,36,Compound::DB00595,has_approved_interaction,Disease::C0001261
37,37,Compound::DB00618,has_approved_interaction,Disease::C0001261
38,38,Compound::DB00681,has_approved_interaction,Disease::C0001261
39,39,Compound::DB00759,has_approved_interaction,Disease::C0001261
40,40,Compound::DB01017,has_approved_interaction,Disease::C0001261
41,41,Compound::DB01053,has_approved_interaction,Disease::C0001261
42,42,Compound::DB02703,has_approved_interaction,Disease::C0001261
43,43,Compound::DB01053,has_approved_interaction,Disease::C0001263
44,44,Compound::DB01053,has_approved_interaction,Disease::C0001264
45,45,Compound::DB00443,has_approved_interaction,Disease::C0001403
46,46,Compound::DB00620,has_approved_interaction,Disease::C0001403
47,47,Compound::DB00635,has_approved_interaction,Disease::C0001403
48,48,Compound::DB00687,has_approved_interaction,Disease::C0001403
49,49,Compound::DB00741,has_approved_interaction,Disease::C0001403
50,50,Compound::DB00860,has_approved_interaction,Disease::C0001403
51,51,Compound::DB00959,has_approved_interaction,Disease::C0001403
52,52,Compound::DB01234,has_approved_interaction,Disease::C0001403
53,53,Compound::DB01380,has_approved_interaction,Disease::C0001403
54,54,Compound::DB01026,has_approved_interaction,Disease::C0001622
