drug_id,ind_id
Compound_DB00814,Disease_C0038325
Compound_DB01232,Disease_C0013395
Compound_DB01200,Disease_C0030590
Compound_DB00734,Disease_C0005587
Compound_DB00820,Disease_C0014742
Compound_DB01197,Disease_C0036830
Compound_DB01149,Disease_C0042024
Compound_DB01168,Disease_C0038325
Compound_DB00184,Disease_C0035455
Compound_DB00608,Disease_C0270846
Compound_DB00425,Disease_C0035258
Compound_DB00748,Disease_C0270846
Compound_DB00458,Disease_C0036337
Compound_DB01004,Disease_C0014742
Compound_DB01162,Disease_C0004604
Compound_DB00582,Disease_C0026961
Compound_DB00758,Disease_C0021775
Compound_DB00682,Disease_C0002792
Compound_DB00485,Disease_C0036830
Compound_DB00813,Disease_C0002792
Compound_DB00176,Disease_C0035455
Compound_DB01327,Disease_C0013395
Compound_DB01156,Disease_C0036130
Compound_DB00195,Disease_C0006277
Compound_DB06209,Disease_C0020649
Compound_DB00397,Disease_C0235063
Compound_DB05294,Disease_C0014742
Compound_DB00829,Disease_C1961112
Compound_DB01181,Disease_C0002792
Compound_DB01197,Disease_C1527407
Compound_DB00959,Disease_C0013922
Compound_DB00999,Disease_C0038325
Compound_DB08895,Disease_C0013395
Compound_DB00497,Disease_C0033774
Compound_DB00264,Disease_C0003862
Compound_DB00334,Disease_C0001144
Compound_DB01262,Disease_C4083212
Compound_DB00764,Disease_C0037199
Compound_DB00943,Disease_C0006444
Compound_DB00385,Disease_C0028734
Compound_DB01267,Disease_C0013395
Compound_DB00318,Disease_C0026961
Compound_DB00762,Disease_C0013922
Compound_DB00524,Disease_C0020651
Compound_DB01255,Disease_C0038325
Compound_DB01190,Disease_C0042998
Compound_DB08816,Disease_C0033774
Compound_DB00724,Disease_C4083212
Compound_DB01595,Disease_C0001957
Compound_DB00757,Disease_C0013395
Compound_DB00358,Disease_C0004245
Compound_DB00555,Disease_C0017574
Compound_DB00585,Disease_C0270846
Compound_DB00749,Disease_C0037199
Compound_DB00795,Disease_C0021603
Compound_DB01409,Disease_C0002994
Compound_DB00831,Disease_C0037036
Compound_DB04868,Disease_C4083212
Compound_DB00764,Disease_C0002994
Compound_DB00734,Disease_C0015371
Compound_DB01181,Disease_C0042024
Compound_DB01168,Disease_C0028734
Compound_DB00999,Disease_C0002994
Compound_DB00555,Disease_C0002994
Compound_DB00834,Disease_C0038325
Compound_DB01001,Disease_C0002792
Compound_DB00571,Disease_C0014742
Compound_DB00586,Disease_C0006277
Compound_DB00650,Disease_C0013395
Compound_DB01041,Disease_C0013395
Compound_DB00625,Disease_C0270846
Compound_DB00788,Disease_C0242459
Compound_DB00813,Disease_C0003862
Compound_DB00997,Disease_C0030590
Compound_DB01202,Disease_C0004604
Compound_DB00535,Disease_C1527407
Compound_DB01016,Disease_C4083212
Compound_DB01115,Disease_C0020649
Compound_DB08816,Disease_C0020649
Compound_DB01263,Disease_C0037199
Compound_DB01267,Disease_C0040460
Compound_DB09389,Disease_C0003615
Compound_DB00385,Disease_C0080274
Compound_DB00715,Disease_C0014742
Compound_DB00543,Disease_C0020649
Compound_DB00715,Disease_C0030590
Compound_DB00724,Disease_C0033774
Compound_DB00904,Disease_C0002994
Compound_DB00820,Disease_C0021603
Compound_DB01198,Disease_C0019360
Compound_DB00480,Disease_C0010692
Compound_DB01267,Disease_C0020514
Compound_DB00806,Disease_C0004604
Compound_DB00889,Disease_C0020651
Compound_DB00540,Disease_C4083212
Compound_DB01004,Disease_C0004604
Compound_DB01280,Disease_C0014549
Compound_DB00758,Disease_C0006277
Compound_DB06201,Disease_C0037199
Compound_DB01198,Disease_C0025874
Compound_DB08875,Disease_C4083212
Compound_DB06209,Disease_C0002792
Compound_DB00745,Disease_C0002994
Compound_DB00975,Disease_C0004604
Compound_DB01400,Disease_C0002792
Compound_DB00904,Disease_C0038325
Compound_DB00724,Disease_C0038325
Compound_DB00860,Disease_C0033774
Compound_DB01104,Disease_C0038325
Compound_DB01117,Disease_C0038325
Compound_DB00559,Disease_C0003962
Compound_DB00253,Disease_C0026961
Compound_DB00187,Disease_C0080274
Compound_DB00485,Disease_C0037383
Compound_DB00734,Disease_C0020649
Compound_DB01001,Disease_C0006277
Compound_DB00586,Disease_C0013428
Compound_DB00620,Disease_C0006277
Compound_DB01267,Disease_C0014549
Compound_DB00745,Disease_C0013395
Compound_DB00639,Disease_C0033774
Compound_DB01142,Disease_C0040261
Compound_DB01149,Disease_C0010692
Compound_DB04946,Disease_C0014869
Compound_DB00425,Disease_C0025323
Compound_DB01181,Disease_C0020649
Compound_DB00966,Disease_C0235480
Compound_DB01050,Disease_C0025874
Compound_DB05294,Disease_C0034186
Compound_DB00799,Disease_C0033774
Compound_DB00575,Disease_C0002994
Compound_DB00715,Disease_C0017575
Compound_DB00734,Disease_C0017574
Compound_DB01016,Disease_C0002994
Compound_DB00997,Disease_C0524702
Compound_DB00836,Disease_C0038325
Compound_DB00191,Disease_C0020542
Compound_DB01198,Disease_C0034186
Compound_DB01406,Disease_C0033845
Compound_DB01020,Disease_C0013395
Compound_DB01062,Disease_C0242429
Compound_DB00808,Disease_C0020649
Compound_DB01234,Disease_C0020649
Compound_DB00334,Disease_C0038363
Compound_DB00561,Disease_C0270846
Compound_DB00939,Disease_C0036830
Compound_DB01039,Disease_C0013922
Compound_DB00188,Disease_C0019342
Compound_DB00937,Disease_C0021603
Compound_DB00334,Disease_C0080274
Compound_DB06403,Disease_C0020649
Compound_DB01224,Disease_C0035455
Compound_DB06201,Disease_C0042024
Compound_DB01203,Disease_C0151636
Compound_DB00318,Disease_C0270846
Compound_DB00952,Disease_C0033774
Compound_DB00444,Disease_C0020649
Compound_DB00808,Disease_C0242429
Compound_DB01149,Disease_C0006849
Compound_DB01415,Disease_C0033774
Compound_DB01203,Disease_C0006266
Compound_DB00715,Disease_C0014549
Compound_DB00747,Disease_C0017605
Compound_DB01267,Disease_C0006277
Compound_DB01069,Disease_C0013395
Compound_DB00283,Disease_C0002792
Compound_DB00715,Disease_C0002792
Compound_DB01181,Disease_C0151636
Compound_DB01156,Disease_C0017605
Compound_DB01129,Disease_C0270846
Compound_DB00425,Disease_C0524702
Compound_DB01400,Disease_C0020649
Compound_DB01242,Disease_C0015371
Compound_DB06268,Disease_C0003962
Compound_DB01190,Disease_C0020649
Compound_DB00899,Disease_C0018834
Compound_DB00641,Disease_C0038325
Compound_DB00716,Disease_C0242429
Compound_DB00678,Disease_C0235480
Compound_DB09462,Disease_C0020649
Compound_DB00188,Disease_C0003962
Compound_DB01066,Disease_C0037199
Compound_DB09389,Disease_C0013428
Compound_DB00747,Disease_C0036337
Compound_DB00285,Disease_C0025323
Compound_DB00283,Disease_C0270846
Compound_DB00285,Disease_C0008325
Compound_DB01197,Disease_C0014742
Compound_DB00582,Disease_C0080274
Compound_DB00321,Disease_C0030590
Compound_DB00625,Disease_C0016436
Compound_DB01224,Disease_C0002962
Compound_DB00555,Disease_C0003862
Compound_DB04846,Disease_C0036337
Compound_DB01020,Disease_C0596298
Compound_DB01618,Disease_C0080274
Compound_DB00224,Disease_C0038325
Compound_DB01190,Disease_C0040425
Compound_DB00997,Disease_C0019345
Compound_DB00524,Disease_C0033774
Compound_DB04854,Disease_C0002994
