drug_id,ind_id
Compound_DB01053,Disease_C0456103
Compound_DB01139,Disease_C0014836
Compound_DB00512,Disease_C0014121
Compound_DB00479,Disease_C0157749
Compound_DB00618,Disease_C0042029
Compound_DB00704,Disease_C0001973
Compound_DB00344,Disease_C0011581
Compound_DB00607,Disease_C0032308
Compound_DB00240,Disease_C0406326
Compound_DB00413,Disease_C0030567
Compound_DB01130,Disease_C0085074
Compound_DB01212,Disease_C0242172
Compound_DB00186,Disease_C0014550
Compound_DB01130,Disease_C0079773
Compound_DB00512,Disease_C0157749
Compound_DB05271,Disease_C0030567
Compound_DB09488,Disease_C0018621
Compound_DB00684,Disease_C0085437
Compound_DB06691,Disease_C0392171
Compound_DB01254,Disease_C0023474
Compound_DB01602,Disease_C0037199
Compound_DB00438,Disease_C0152964
Compound_DB00881,Disease_C0020538
Compound_DB06691,Disease_C0009766
Compound_DB00273,Disease_C0014549
Compound_DB00744,Disease_C0155880
Compound_DB01602,Disease_C0031350
Compound_DB00875,Disease_C0036341
Compound_DB09488,Disease_C1260880
Compound_DB08864,Disease_C0019693
Compound_DB00838,Disease_C0011616
Compound_DB00858,Disease_C0010043
Compound_DB01764,Disease_C0554628
Compound_DB00248,Disease_C0020514
Compound_DB00359,Disease_C0040560
Compound_DB00240,Disease_C0406317
Compound_DB00027,Disease_C0854211
Compound_DB00683,Disease_C0085631
Compound_DB00557,Disease_C0042109
Compound_DB01137,Disease_C0554628
Compound_DB00420,Disease_C0037383
Compound_DB01220,Disease_C1262211
Compound_DB00833,Disease_C1318973
Compound_DB00637,Disease_C0037383
Compound_DB01068,Disease_C0014550
Compound_DB06691,Disease_C0035460
Compound_DB01294,Disease_C0013395
Compound_DB00835,Disease_C0018621
Compound_DB00618,Disease_C0018081
Compound_DB00672,Disease_C0011860
Compound_DB09292,Disease_C0264716
Compound_DB00454,Disease_C0474368
Compound_DB00223,Disease_C0011616
Compound_DB01146,Disease_C2607914
Compound_DB00254,Disease_C0037199
Compound_DB00846,Disease_C0024138
Compound_DB01274,Disease_C0034067
Compound_DB00438,Disease_C0014347
Compound_DB00846,Disease_C0406317
Compound_DB00218,Disease_C0519030
Compound_DB00406,Disease_C0700345
Compound_DB01146,Disease_C0042109
Compound_DB00211,Disease_C0020651
Compound_DB00858,Disease_C0022073
Compound_DB00438,Disease_C0276088
Compound_DB00800,Disease_C0745138
Compound_DB00681,Disease_C1997322
Compound_DB00703,Disease_C0017605
Compound_DB00798,Disease_C0030578
Compound_DB00525,Disease_C1384589
Compound_DB00401,Disease_C0020538
Compound_DB00254,Disease_C0744451
Compound_DB00838,Disease_C0149922
Compound_DB01607,Disease_C1318973
Compound_DB01599,Disease_C0020443
Compound_DB01053,Disease_C0036285
Compound_DB00846,Disease_C0033775
Compound_DB00798,Disease_C1112209
Compound_DB00263,Disease_C0007947
Compound_DB01212,Disease_C0276088
Compound_DB01331,Disease_C0242172
Compound_DB00420,Disease_C0012734
Compound_DB01588,Disease_C0003467
Compound_DB00438,Disease_C0025294
Compound_DB00218,Disease_C0554628
Compound_DB08897,Disease_C0024117
Compound_DB00246,Disease_C0036341
Compound_DB00681,Disease_C1112209
Compound_DB00427,Disease_C0343065
Compound_DB00660,Disease_C0026838
Compound_DB01053,Disease_C0554628
Compound_DB00290,Disease_C0153601
Compound_DB06589,Disease_C0007134
Compound_DB01607,Disease_C0276088
Compound_DB01607,Disease_C0042029
Compound_DB00760,Disease_C0025294
Compound_DB01227,Disease_C0524662
Compound_DB00654,Disease_C0028840
Compound_DB06820,Disease_C0040252
Compound_DB06176,Disease_C0079774
Compound_DB00962,Disease_C0021603
Compound_DB01413,Disease_C0004626
Compound_DB06817,Disease_C0019693
Compound_DB06211,Disease_C1112209
Compound_DB00911,Disease_C0152499
Compound_DB00681,Disease_C0031350
Compound_DB01053,Disease_C0039128
Compound_DB09093,Disease_C0040592
Compound_DB01212,Disease_C0276089
Compound_DB13179,Disease_C0155862
Compound_DB00705,Disease_C0019693
Compound_DB00685,Disease_C0042029
Compound_DB00496,Disease_C0150045
Compound_DB01588,Disease_C0917801
Compound_DB00646,Disease_C0006849
Compound_DB00920,Disease_C0009766
Compound_DB00911,Disease_C0040921
Compound_DB05109,Disease_C0023827
Compound_DB08874,Disease_C0343386
Compound_DB01394,Disease_C0031069
Compound_DB00681,Disease_C0018081
Compound_DB00467,Disease_C0042029
Compound_DB00760,Disease_C0085437
Compound_DB00934,Disease_C0338908
Compound_DB00681,Disease_C0035793
Compound_DB00581,Disease_C0009806
Compound_DB00479,Disease_C0456103
Compound_DB00868,Disease_C0010200
Compound_DB00792,Disease_C0035460
Compound_DB00579,Disease_C0028754
Compound_DB06764,Disease_C0027424
Compound_DB09020,Disease_C0009806
Compound_DB01139,Disease_C0042029
Compound_DB08890,Disease_C0267509
Compound_DB01331,Disease_C0014836
Compound_DB00512,Disease_C2242472
Compound_DB06691,Disease_C0018621
Compound_DB00612,Disease_C0020538
Compound_DB01148,Disease_C0028734
Compound_DB00911,Disease_C0023886
Compound_DB00438,Disease_C0149725
Compound_DB00902,Disease_C0033774
Compound_DB01413,Disease_C0155862
Compound_DB00722,Disease_C0264716
Compound_DB06799,Disease_C0042029
Compound_DB06702,Disease_C0150045
Compound_DB01268,Disease_C0238198
Compound_DB01243,Disease_C0036508
Compound_DB01053,Disease_C0149704
Compound_DB00637,Disease_C2607914
Compound_DB00223,Disease_C0079773
Compound_DB00838,Disease_C0085074
Compound_DB08903,Disease_C0041327
Compound_DB00254,Disease_C1112709
Compound_DB06614,Disease_C0021400
Compound_DB01410,Disease_C0004096
Compound_DB01580,Disease_C0003467
Compound_DB00911,Disease_C0017536
Compound_DB01330,Disease_C1112209
Compound_DB09488,Disease_C0009766
Compound_DB00876,Disease_C0020538
Compound_DB01331,Disease_C0554628
Compound_DB00844,Disease_C0030193
Compound_DB01353,Disease_C0917801
Compound_DB00681,Disease_C0001144
Compound_DB00359,Disease_C0009324
Compound_DB00637,Disease_C0578870
Compound_DB00880,Disease_C0745138
Compound_DB06826,Disease_C0028840
Compound_DB01330,Disease_C0242172
Compound_DB01260,Disease_C0149922
Compound_DB00873,Disease_C0035854
Compound_DB01193,Disease_C0020538
Compound_DB01411,Disease_C2607914
Compound_DB09229,Disease_C0020538
Compound_DB09571,Disease_C0027424
Compound_DB00873,Disease_C0042165
Compound_DB00254,Disease_C0001261
Compound_DB00254,Disease_C0008149
Compound_DB01082,Disease_C0041351
Compound_DB00557,Disease_C0033774
Compound_DB01114,Disease_C0033774
Compound_DB01238,Disease_C0236780
Compound_DB00681,Disease_C0239295
Compound_DB00568,Disease_C0042571
Compound_DB01330,Disease_C0032308
Compound_DB00927,Disease_C0014869
Compound_DB00420,Disease_C0042963
Compound_DB00438,Disease_C1112209
Compound_DB00254,Disease_C0041471
Compound_DB00263,Disease_C0028242
Compound_DB00254,Disease_C0006060
Compound_DB00254,Disease_C0006277
Compound_DB09555,Disease_C0035460
Compound_DB09118,Disease_C0014550
Compound_DB08792,Disease_C0002438
Compound_DB01060,Disease_C0271429
Compound_DB00798,Disease_C0276089
Compound_DB00275,Disease_C0020538
Compound_DB01367,Disease_C0030567
Compound_DB06764,Disease_C1260880
Compound_DB01212,Disease_C1112209
Compound_DB00953,Disease_C0149931
Compound_DB06691,Disease_C0037383
Compound_DB01147,Disease_C1318973
Compound_DB00581,Disease_C0220994
Compound_DB01139,Disease_C0157749
Compound_DB00846,Disease_C0079773
Compound_DB04911,Disease_C1274355
Compound_DB06176,Disease_C0079773
Compound_DB05271,Disease_C0035258
Compound_DB01410,Disease_C0018621
Compound_DB01212,Disease_C0085437
Compound_DB01274,Disease_C0024117
Compound_DB00798,Disease_C0016867
Compound_DB00240,Disease_C0033775
Compound_DB00254,Disease_C0001144
Compound_DB00618,Disease_C0001261
Compound_DB00798,Disease_C0456107
Compound_DB00880,Disease_C0020538
Compound_DB01053,Disease_C0744451
Compound_DB09267,Disease_C0029458
Compound_DB00427,Disease_C0042109
Compound_DB00274,Disease_C1112209
Compound_DB00438,Disease_C0014836
Compound_DB01247,Disease_C1269683
Compound_DB00683,Disease_C0003467
Compound_DB00590,Disease_C1739363
Compound_DB01246,Disease_C0027424
Compound_DB09488,Disease_C0035460
Compound_DB08916,Disease_C1960925
Compound_DB00274,Disease_C0032308
Compound_DB00218,Disease_C0032308
Compound_DB00303,Disease_C1263758
Compound_DB08941,Disease_C0034734
Compound_DB04942,Disease_C0023487
Compound_DB08912,Disease_C0860594
Compound_DB00792,Disease_C1260880
Compound_DB06826,Disease_C0017612
